LNEN002	52.8083861045062
LNEN003	-13.0623099446225
LNEN004	-11.7898244265928
LNEN005	7.11422207936128
LNEN006	-0.918762137125643
LNEN007	111.827030993066
LNEN009	76.8269030761386
LNEN010	127.409782797484
LNEN011	-26.5447871228908
LNEN013	-41.4081725173531
LNEN014	101.012236245964
LNEN015	89.9037284740838
LNEN016	-15.062521560022
LNEN017	85.9347827023953
LNEN020	94.1371118010064
LNEN021	-32.9347527103355
LNEN022	-1.88193095790873
LNEN023	8.89186692704982
LNEN024	-32.7718446719685
LNEN025	-18.552289877183
LNEN026	27.2712712244834
LNEN027	-46.1926269841532
LNEN028	-12.5197419392083
LNEN029	70.1903260278874
LNEN030	-18.8171673299202
LNEN031	-18.1248367596888
LNEN032	-21.4183334528976
LNEN033	-18.5129443032994
LNEN034	-13.0614213280189
LNEN035	79.2900110761671
LNEN036	56.4571290675873
LNEN037	-39.3475197386263
LNEN038	-6.51198767918778
LNEN039	-56.7826473403126
LNEN040	-14.1019444134513
S00016	-59.8818472992991
S00089	18.1825570387477
S00094	4.95297929952847
S00128	16.2304731339009
S00515	-12.9398846300723
S00516	-23.37782483725
S01103	-12.9314925446036
S01502	-42.8617749406972
S01521	-24.7774858460337
S01522	-9.64016610137353
S01528	-58.2357377475144
S01529	-20.1597144968868
S01538	-14.7352522680486
S01539	-19.067513591547
S01540	-48.8237260274614
S01541	-7.81118805307762
S01545	-57.3617816807358
S01577	-53.7516669600559
S01582	-13.604337786646
S02327	-51.3296069893497
S02330	-36.8314290739377
