Sample	Dimension.1	Dimension.2
M101PT	31.9413099372318	-17.2322335374301
M15PT	36.3365962003908	18.6914598541536
M17PT	-19.148880191225	42.8406720839177
M18PT	31.4773237094861	-64.7459404566866
M19PT	3.356817813905	20.252609207088
M1PT	29.9031690820904	24.9773170764275
M20PT	-96.9556196382071	3.01690709011521
M22PT	-48.0408516474488	13.6318211894862
M23PT	20.6061574960201	-37.1933716707318
M24PT	-29.7599321268417	-14.639288857143
M25PT	4.6926754591545	38.4341706366107
M26PT	-28.1071816089119	50.1206518549342
M37PT	44.8413963209317	17.5762740330238
M39PT	-11.9852358173048	5.29031516765275
M3PT	20.7344070845619	48.9022748487242
M40PT	-11.6586662759051	-7.61903873788971
M42PT	55.5187382824927	-46.677065224065
M43PT	-14.3659696347227	-35.7259707560991
M45PT	-31.6876510846321	-94.5214237104826
M49PT	10.3327135879071	13.1422356282428
M4PT	43.2127603801759	-63.0995387315191
M52PT	53.9503437273446	-37.5524865017151
M53PT	11.3274386741321	5.89223111996446
M54PT	15.6202099191086	-18.5194776322848
M55PT	-91.6223688812984	14.0247051797703
M57PT	-29.1229411891099	42.6983521655841
M58PT	-94.4712943183367	15.6913047327719
M604PT	6.51715375992227	-60.1275171962161
M605PT	-5.9685515493581	-0.639883763094322
M606PT	-58.7720770508603	-62.7842704543023
M608PT	34.6508518451612	-42.3415429533614
M60PT	35.3529681303198	15.5699577122585
M610PT	-110.609471012524	-24.6629418622586
M619PT	21.2523896624814	-40.3509001130998
M620PT	19.7591734601348	14.8987394921766
M622PT	30.2195071329713	-15.3268556455979
M625PT	26.6468277945857	25.3840209328399
M628PT	28.9616902396509	-35.7211559780114
M62PT	-86.9274877833032	-19.8308683426824
M631PT	38.1207435767832	11.8569998964782
M632PT	32.2456386439164	10.2779382941707
M634PT	43.6996862349841	-73.8220332525578
M637PT	-84.9505189156465	-0.881721886826397
M639PT	10.4087723768423	-52.662547869569
M63PT	-107.249274278307	-26.3952638190053
M640PT	13.5612682028872	-17.090066922884
M646PT	21.0349568972676	-55.5366663128632
M648PT	-15.0135294099269	-10.3291571099825
M649PT	13.6654808951665	17.7097589770184
M651PT	-97.8860417319391	-4.14742188480985
M653PT	5.26443180370473	24.2820998538084
M657PT	37.7803720200003	-8.37663864221352
M658PT	40.3745283244323	-21.6563569338485
M659PT	22.0212761609007	54.8400018576414
M661PT	59.6208301245639	-19.4349591824454
M665PT	9.38162221277867	-27.9417861486399
M668PT	-52.1786870184873	-29.7625440731877
M670PT	-30.7928193228055	7.2112441161469
M672PT	33.0952946951379	-34.2669382682797
M681PT	49.0625593397513	1.75354525301656
M682PT	-84.1839204839955	71.7165547146788
M686PT	8.8985468838984	31.8061090976767
M687PT	46.287415911746	37.1019010882846
M689PT	-1.99552729343232	30.4916480816944
M68PT	49.7373729982991	-6.84384307330791
M690PT	9.84819540438244	-21.2755119563939
M694PT	41.6359972596026	-33.1518685030943
M6PT	-98.9305965188	-8.20214263950508
M705PT	68.1724736467078	-29.7206438365987
M715PT	-4.9697365408332	-64.3725790641741
M717PT	68.2535580130174	6.38449745874321
M718PT	38.7220607597388	-0.863379690714786
M719PT	7.42028810779487	44.8197362544498
M71PT	39.7200125397537	-46.3704606990873
M72PT	20.947721530396	-96.7811881390049
M73PT	24.1941365247863	-14.6684737287623
M80PT	37.4837977399416	0.986855104180663
M8PT	-80.5603054278871	22.3961629006896
M93PT	35.6528474467816	-24.1459002570709
M94PT	11.2139203697786	-50.414340957821
M96PT	-100.793465289977	-5.52959167580728
M9PT	35.552326620304	19.3662198006614
TCGA-3H-AB3X-01	14.9332262981645	-12.5880450121893
TCGA-3U-A98E-01	64.51560647219	-64.8411240800571
TCGA-3U-A98H-01	17.1803442734146	-35.6420667827887
TCGA-LK-A4NZ-01	37.4411186539727	-25.4025677927896
TCGA-LK-A4O0-01	-71.7351938504216	-19.7754183420339
TCGA-LK-A4O2-01	13.5661279250667	12.361659349167
TCGA-MQ-A4KX-01	47.4628446737466	-33.6346579142541
TCGA-MQ-A4LC-01	81.595292138486	-21.981556093041
TCGA-MQ-A4LM-01	-98.9461654663961	5.36966684625392
TCGA-MQ-A4LV-01	-30.7022645190207	28.5428783492836
TCGA-MQ-A6BQ-01	71.088842681901	-4.77152547146895
TCGA-MQ-A6BR-01	19.1803866006986	-8.02479423453319
TCGA-NQ-A638-01	45.7517256983375	1.46740091483528
TCGA-SC-A6LQ-01	22.9363197142825	-20.3945078559124
TCGA-SC-A6LR-01	73.6281151054488	12.4714139015203
TCGA-TS-A7OU-01	52.2562131377973	4.18504422023809
TCGA-TS-A7P0-01	6.43591548130579	-19.2536400224116
TCGA-TS-A7P6-01	3.08625784906927	25.3750748628324
TCGA-TS-A7PB-01	54.4448661437814	-14.6823442406593
TCGA-TS-A8AV-01	-100.049052988031	-52.32787505332
TCGA-UD-AABZ-01	51.1930240621747	71.3601374817876
TCGA-UT-A97Y-01	-26.0684061886988	56.3652100950568
TCGA-YS-A95B-01	28.691887362415	66.8566268848425
TCGA-YS-A95C-01	70.9811052437721	-13.7174799633967
TCGA-YS-AA4M-01	-39.9255262103307	-39.9706359627049
TCGA-ZN-A9VO-01	36.5515178705991	-12.5991060989357
TCGA-ZN-A9VP-01	27.5208567722542	18.530562778391
TCGA-ZN-A9VS-01	58.1842849361034	-24.1985115383889
TCGA-ZN-A9VU-01	57.8240061498362	-49.5223427114906
TCGA-ZN-A9VV-01	20.701114220137	91.2775015905308
TCGA-ZN-A9VW-01	-40.190720328338	15.5675171921419
