sample	x	y
M40PT	-11.6586662759051	-7.61903873788971
M23PT	20.6061574960201	-37.1933716707318
M66PT	-100.966210297966	-49.6189608159302
M16PT	-54.9084365606085	-1.22064777571823
M38PT	-75.4572121250648	71.1564845947402
M7PT	-45.8336682069205	8.59403619207076
M87PT	-17.4241775024984	-2.72515810726659
M55PT	-91.6223688812984	14.0247051797703
M41PT	15.3042583956426	7.52248735263498
M35PT	30.4953536410121	-3.36694305190893
M25PT	4.6926754591545	38.4341706366107
M34PT	-30.2904340252028	11.517289474768
M9PT	35.552326620304	19.3662198006614
M30PT	-1.88839104077101	21.2626537170883
M84PT	-9.32082945462042	-19.1388741715802
M44PT	-76.1180957856223	-75.0291338704193
M50PT	32.3643267208978	2.56520280560348
M60PT	35.3529681303198	15.5699577122585
M54PT	15.6202099191086	-18.5194776322848
M42PT	55.5187382824927	-46.677065224065
M85PT	12.21593812037	1.35712218289696
M62PT	-86.9274877833032	-19.8308683426824
M65PT	-73.4145854325108	89.0236832644927
M74PT	24.8537466024174	40.8703181398137
M19PT	3.356817813905	20.252609207088
M79PT	-12.7519530001621	21.3735666316476
M36PT	40.0079317174654	-15.4890725501973
M57PT	-29.1229411891099	42.6983521655841
M63PT	-107.249274278307	-26.3952638190053
M70PT	11.7060015191963	-56.5194705413631
M18PT	31.4773237094861	-64.7459404566866
M12PT	-28.3634704106244	60.1406041297336
M82PT	-17.0648794707099	-11.9421578495652
M80PT	37.4837977399416	0.986855104180663
M15PT	36.3365962003908	18.6914598541536
M32PT	33.0644486735673	6.05572809890975
M67PT	-16.9174083077314	2.17284287105937
M8PT	-80.5603054278871	22.3961629006896
M94PT	11.2139203697786	-50.414340957821
M39PT	-11.9852358173048	5.29031516765275
M20PT	-96.9556196382071	3.01690709011521
M58PT	-94.4712943183367	15.6913047327719
M46PT	9.6190552000572	2.0777084551724
M98PT	13.7003682041195	1.55070158998939
M100PT	32.4571268283617	-14.2408785434396
M92PT	27.1055893423757	-30.356787015168
M2PT	-11.5047390792012	-12.0214302535066
M10PT	-93.7646489410002	-13.3004078186804
M53PT	11.3274386741321	5.89223111996446
M43PT	-14.3659696347227	-35.7259707560991
M76PT	26.8265297480155	-3.8397004914221
M83PT	41.6763223585021	-25.6570432731545
M1PT	29.9031690820904	24.9773170764275
M95PT	10.8333259346034	1.22014776743142
M26PT	-28.1071816089119	50.1206518549342
M71PT	39.7200125397537	-46.3704606990873
M51PT	-21.5165490694607	35.9710255333837
M75PT	-105.458991425879	-27.9817824669874
M11PT	-0.145704665387362	6.8261273908113
M89PT	18.142344469602	-45.4381915232702
M14PT	49.9904048825638	-43.0595051181308
M61PT	-12.2836588584308	36.0669146134284
M21PT	13.825112074588	-4.52829168795679
M28PT	23.2953964415675	-6.94961049346629
M17PT	-19.148880191225	42.8406720839177
M24PT	-29.7599321268417	-14.639288857143
M56PT	-28.9102380164312	71.7370197595047
M6PT	-98.9305965188	-8.20214263950508
M27PT	42.052129930085	-12.1922808126207
M77PT	-94.9163292148837	65.5803018505387
M68PT	49.7373729982991	-6.84384307330791
M22PT	-48.0408516474488	13.6318211894862
M73PT	24.1941365247863	-14.6684737287623
M29PT	-35.8295370285798	-42.5625500457538
M33PT	-18.4736052368606	-55.7502868594386
M59PT	-98.3706006211195	-73.8328336664841
M81PT	36.7867656587869	-20.732175240444
M97PT	-12.651497575591	-60.1872946309889
M37PT	44.8413963209317	17.5762740330238
M90PT	-29.5755648734175	39.7343568708638
M31PT	-62.365070526281	-67.23528147955
M4PT	43.2127603801759	-63.0995387315191
M3PT	20.7344070845619	48.9022748487242
M48PT	55.2744739451905	14.2099336176445
M91PT	-52.0155349594892	-30.7136108191633
M45PT	-31.6876510846321	-94.5214237104826
M52PT	53.9503437273446	-37.5524865017151
M49PT	10.3327135879071	13.1422356282428
M47PT	-1.74621989054803	-35.231856650632
M69PT	11.3849385539591	84.5711303138467
M99PT	-76.7877652752666	-52.2408398699461
M64PT	28.2777271466759	6.38443804448495
M96PT	-100.793465289977	-5.52959167580728
M13PT	5.5536179769959	1.95030871773648
M72PT	20.947721530396	-96.7811881390049
M86PT	2.21149973075303	-10.0654846071387
M93PT	35.6528474467816	-24.1459002570709
M88PT	-65.6947106738451	-23.8502319981232
M101PT	31.9413099372318	-17.2322335374301
M682PT	-84.1839204839955	71.7165547146788
M611PT	-2.43769716304816	33.4251564385548
M613PT	-7.38756585552487	53.0920467809125
M614PT	19.3447096646663	10.6966807424106
M615PT	-11.6658119341811	18.5347597800063
M617PT	3.08114468428763	44.1646512843184
M623PT	-44.5744803552565	-36.9254524903684
M624PT	-53.7883230647372	1.60640715213611
M626PT	-23.7286162368465	65.9301599890145
M627PT	3.70963333649162	9.72290981018783
M629PT	-17.8808083468928	36.9022346016568
M630PT	-16.4637960509583	-80.9341296572182
M641PT	-4.93684698246239	7.16059116870047
M642PT	-21.8266990171431	30.995187861372
M655PT	-41.1469197095621	50.9254502711928
M656PT	40.0581725670579	49.0941370681559
M660PT	-54.803379962703	-52.7468008903763
M662PT	6.00648415356186	-23.1165247835948
M664PT	19.0710594244654	56.2742745382643
M667PT	-115.711598538792	-73.4256585490523
M669PT	7.67824632905416	32.3439521298578
M671PT	-48.6569951226383	-19.2344295224762
M673PT	-5.7281251416568	23.7541207156699
M674PT	-101.015073727921	-7.24553074933506
M675PT	-35.7040382539	39.2823380606323
M678PT	0.500645051702474	54.1731605263655
M680PT	-75.6579100437669	16.8536976683923
M685PT	26.6418508109342	25.468899926491
M688PT	-41.6986070150115	-10.8061549641493
